cite,question_id,question,choices,answer,chapter
"한국 사람들은 무엇을 먹을까? 한국 음식의 기본은 밥과 국, 그리고 여러 가지 반찬 이다.",860,한국 음식의 기본 구성 요소는 무엇인가?,"1. 밥과 국, 반찬
2. 밥과 김치
3. 밥과 떡
4. 밥과 고기
","밥과 국, 반찬",13
한식은 밥과 반찬을 먹기 때문에 다양한 영양소를 고루 섭취할 수 있어서 건강을 유지하는 데 좋다.,861,한식이 건강 유지에 좋은 이유는 무엇인가?,"1. 다양한 영양소를 고루 섭취할 수 있기 때문
2. 맛이 좋아서
3. 가격이 저렴해서
4. 조리가 쉽기 때문
",다양한 영양소를 고루 섭취할 수 있기 때문,13
겨울에 김장한 김치를 저장하기 위해 땅에 묻어 두었던 것으로 요즘은 냉장고를 많이 이용한다.,862,김장한 김치를 보관하는 현대적인 방법은 무엇인가?,"1. 땅에 묻는다
2. 방에 두는다
3. 냉장고를 이용한다
4. 창고에 보관한다
",냉장고를 이용한다,13
한국인의 주식은 밥이다. 밥은 쌀을 재료로 하여짓는 것으로 한국의 가장 기본적인 음식이다.,863,한국인의 주식은 무엇인가?,"1. 떡
2. 고기
3. 밥
4. 빵
",밥,13
"국은 보통 고기, 생선, 채소 등 다양한재료로 만들어서 끓여 먹지만, 여름에는 시원하게해서 먹는 경우도 있다.",864,한국의 국은 어떤 재료로 만드는가?,"1. 고기, 생선, 채소
2. 쌀, 고기
3. 떡, 채소
4. 빵, 고기
","고기, 생선, 채소",13
반찬으로는 주로 채소를 이용하여 만든 나물이나 김치가 있다.,865,한국의 반찬으로 주로 사용되는 것은 무엇인가?,"1. 나물이나 김치
2. 빵이나 고기
3. 떡이나 과일
4. 치즈나 버터
",나물이나 김치,13
김치는 한국을 대표 하는 음식 중 하나이다.,866,한국을 대표하는 음식 중 하나는 무엇인가?,"1. 떡볶이
2. 김치
3. 비빔밥
4. 삼겹살
",김치,13
"발효음식으로는 된장, 간장, 고추장 같은 장류나 새우젓, 멸치젓 등의 젓갈류가 대표적이다.",867,한국의 대표적인 발효음식은 무엇인가?,"1. 된장, 간장, 고추장, 새우젓, 멸치젓
2. 김치, 된장, 간장
3. 고기, 생선
4. 떡, 과일
","된장, 간장, 고추장, 새우젓, 멸치젓",13
"대표적인 것으로 불고기, 삼겹살구이, 삼계탕, 비빔밥 등을 들 수 있다.",868,한국의 대표적인 요리로 어떤 것들이 있는가?,"1. 불고기, 삼겹살구이, 삼계탕, 비빔밥
2. 김치, 된장, 간장
3. 떡볶이, 김밥, 라면
4. 치킨, 피자, 햄버거
","불고기, 삼겹살구이, 삼계탕, 비빔밥",13
한국인이즐겨먹는떡,869,한국인이 즐겨 먹는 음식 중 하나는 무엇인가?,"1. 떡
2. 빵
3. 과자
4. 치즈
",떡,13
"이와 같이 한국인은 밥과 함께 국, 반찬을 주로 먹지만, 특별히 요리하여 먹는 음식도 많다.",870,한국인이 주로 먹는 식사 구성은 무엇인가?,"1. 밥, 국, 반찬
2. 빵, 스프, 샐러드
3. 면, 국물, 반찬
4. 밥, 스프, 샐러드
","밥, 국, 반찬",13
"대표적인 것으로 불고기, 삼겹살구이, 삼계탕, 비빔밥 등을 들 수 있다.",871,한국의 대표적인 요리로 어떤 것들이 있나요?,"1. 불고기, 삼겹살구이, 삼계탕, 비빔밥
2. 피자, 스파게티, 라자냐, 브르스케타
3. 초밥, 라멘, 돈까스, 텐동
4. 타코, 부리토, 치미창가, 퀘사디아
","불고기, 삼겹살구이, 삼계탕, 비빔밥",13
한국인들은 오랜 옛날부터 쌀을 주재료로 해서 만든 떡을 즐겨 먹었다.,872,한국인들이 오랜 옛날부터 즐겨 먹었던 음식은 무엇인가요?,"1. 떡
2. 빵
3. 면
4. 과자
",떡,13
"평소에도 떡을 먹는 경우가 많지만, 특히 결혼식이나 제사, 명절, 생일 등을 맞이했을 때 떡은 꼭 있어야 할 음식 중 하나로 여겨지고 있다.",873,한국에서 떡은 어떤 경우에 주로 먹는가?,"1. 결혼식, 제사, 명절, 생일
2. 아침식사, 점심식사, 저녁식사
3. 간식, 야식
4. 모든 식사
","결혼식, 제사, 명절, 생일",13
"떡은 가족끼리 먹기도 하고 이웃, 친척 등과 함께 나누어 먹거나 선물을 하는 경우도 많다.",874,한국에서 떡은 어떤 경우에 먹거나 나눠먹는가?,"1. 가족끼리, 이웃과 친척과 함께, 선물로
2. 혼자서, 친구와 함께, 선물로
3. 가족끼리, 혼자서, 선물로
4. 혼자서, 친구와 함께, 가족끼리
","가족끼리, 이웃과 친척과 함께, 선물로",13
"백설기, 인절미, 절편, 가래떡 등이 한국에서 자주 볼 수 있는 대표적인 떡이다.",875,한국에서 자주 볼 수 있는 대표적인 떡은 무엇인가?,"1. 백설기, 인절미, 절편, 가래떡
2. 크로와상, 바게트, 브리오슈, 푸아그라스
3. 소바, 우동, 라멘, 돈부리
4. 타코, 부리토, 치미창가, 퀘사디아
","백설기, 인절미, 절편, 가래떡",13
온돌  부엌의 아궁이에 불을 때면 불 기운이 방 밑에 있는 돌을 데워서 방 전체를 따뜻하게 해 주는 전통적인 난방 장치,876,온돌이란 무엇인가?,"1. 부엌의 아궁이에 불을 때면 불 기운이 방 밑에 있는 돌을 데워서 방 전체를 따뜻하게 해 주는 전통적인 난방 장치
2. 방 안에 설치된 전기나 가스를 이용한 난방 장치
3. 방 안에 설치된 벽난로나 스토브 같은 난방 장치
4. 방 안에 설치된 에어컨이나 히터 같은 난방 장치
",부엌의 아궁이에 불을 때면 불 기운이 방 밑에 있는 돌을 데워서 방 전체를 따뜻하게 해 주는 전통적인 난방 장치,13
대청마루  방과 방 사이에 있는 큰 마루,877,대청마루란 무엇인가?,"1. 방과 방 사이에 있는 큰 마루
2. 방 안에 있는 작은 마루
3. 방 밖에 있는 큰 마루
4. 방 밖에 있는 작은 마루
",방과 방 사이에 있는 큰 마루,13
추수  가을에 곡식을 거두는 것,878,추수란 무엇인가?,"1. 가을에 곡식을 거두는 것
2. 봄에 곡식을 심는 것
3. 여름에 곡식을 거두는 것
4. 겨울에 곡식을 심는 것
",가을에 곡식을 거두는 것,13
양반  조선시대의 상류층,879,양반이란 무엇인가?,"1. 조선시대의 상류층
2. 조선시대의 중류층
3. 조선시대의 하류층
4. 조선시대의 무인
",조선시대의 상류층,13
현재까지 남아있는 한옥마을 한옥마을은 한국의 전통 한옥을 볼 수 있는 곳이다.,880,한옥마을에서는 어떤 것을 볼 수 있는가?,"1. 한국의 전통 한복
2. 한국의 전통 음식
3. 한국의 전통 한옥
4. 한국의 전통 무용
",한국의 전통 한옥,13
