cite,question_id,question,choices,answer,chapter
한강의 기적을 이루다 한국은 1950년대에 한국 전쟁을 겪으면서 산업 시설이 대부분 파괴되었다.,1160,한국 전쟁이 발생한 시기는 언제인가?,"1. 1940년대
2. 1950년대
3. 1960년대
4. 1970년대
",1950년대,25
"1960년에는 1인당 국민총소득이 79달러에 불과했는데, 2014년에는 28,000달러를 넘어서 54년 만에 약 350배 증가하였다.",1161,1960년 한국의 1인당 국민총소득은 얼마였는가?,"1. 79달러
2. 800달러
3. 8,000달러
4. 80,000달러
",79달러,25
"1997년 한국의 외환위기, 2008년 세계적인 금융 위기로 한때 어려움을 겪기도 했지만, 결국 이를 극복하였다.",1162,한국이 외환위기를 겪은 년도는 언제인가?,"1. 1995년
2. 1996년
3. 1997년
4. 1998년
",1997년,25
"한강 한강은 한국의 수도 서울에 흐르는 큰 강으로, 서울을 나타내는 하나의 상징",1163,한강은 어느 도시를 통과하는가?,"1. 부산
2. 대구
3. 인천
4. 서울
",서울,25
"1960년대 이전의 한국은 농업의 비중이 컸다. 이후 경제 개발을 시작 하면서 1960년대에는 경공업이 발달 하였고, 1970년대부터는 중화학 공업이 발달하기 시작하였다.",1164,1970년대부터 한국에서 발달하기 시작한 산업은 무엇인가?,"1. 농업
2. 경공업
3. 중화학 공업
4. 서비스 업
",중화학 공업,25
2001년 이를 완전히 극복함,1165,한국이 외환위기를 완전히 극복한 년도는 언제인가?,"1. 1999년
2. 2000년
3. 2001년
4. 2002년
",2001년,25
한강의 기적을 이루다 한국은 1950년대에 한국 전쟁을 겪으면서 산업 시설이 대부분 파괴되었다.,1166,한국 전쟁으로 인해 어떤 시설이 대부분 파괴되었는가?,"1. 교육 시설
2. 의료 시설
3. 산업 시설
4. 교통 시설
",산업 시설,25
"현재 한국의 산업은 제조업과 서비스 업이 주축이 되는 선진국과 비슷한 구조로 변화하였고, 성장을 계속하기 위해 생명 공학, 정보 통신과 같은 첨단 산업의 발달에 힘쓰고 있다.",1167,현재 한국의 산업 구조는 어떤 산업이 주축이 되는가?,"1. 농업과 임업
2. 제조업과 서비스 업
3. 경공업과 중화학 공업
4. 광업과 에너지 업
",제조업과 서비스 업,25
"1960년에는 1인당 국민총소득이 79달러에 불과했는데, 2014년에는 28,000달러를 넘어서 54년 만에 약 350배 증가하였다.",1168,2014년 한국의 1인당 국민총소득은 얼마였는가?,"1. 2,800달러
2. 28,000달러
3. 280,000달러
4. 2,800,000달러
","28,000달러",25
과거에 매우 가난했던 한국이 지금처럼 눈부신 성장을 한 것을 가리켜 사람들은 한강의 기적이라고 부른다.,1169,한국의 눈부신 경제 성장을 가리켜 무엇이라 부르는가?,"1. 한강의 기적
2. 서울의 기적
3. 경제의 기적
4. 산업의 기적
",한강의 기적,25
"비중이 컸다. 이후 경제 개발을 시작 하면서 1960년대에는 경공업이 발달 하였고, 1970년대부터는 중화학 공업이 발달하기 시작하였다.",1170,한국이 1960년대에 발달시킨 산업은 무엇인가?,"1. 중화학 공업
2. 제조업
3. 경공업
4. 서비스업
",경공업,25
"현재 한국의 산업은 제조업과 서비스 업이 주축이 되는 선진국과 비슷한 구조로 변화하였고, 성장을 계속하기 위해 생명 공학, 정보 통신과 같은 첨단 산업의 발달에 힘쓰고 있다.",1171,현재 한국의 산업 구조는 어떤 산업이 주축이 되는가?,"1. 경공업과 중화학 공업
2. 제조업과 서비스업
3. 생명 공학과 정보 통신
4. 철강과 자동차
",제조업과 서비스업,25
"2000년대 이후 한국이 많이 수출하는 상품은 반도체, 선박, 자동차, 휴대폰, 석유 제품 등이다.",1172,2000년대 이후 한국이 주로 수출하는 상품은 무엇인가?,"1. 옷, 신발, 가발
2. 철강, 자동차, 선박
3. 반도체, 선박, 자동차, 휴대폰, 석유 제품
4. 생명 공학, 정보 통신 제품
","반도체, 선박, 자동차, 휴대폰, 석유 제품",25
"2013년에도 수출 5,596억 달러, 수입 5,156억 달러를 기록하면서 세계에서 8번째로 큰 무역 대국이 되었다.",1173,2013년 한국은 세계에서 몇 번째로 큰 무역 대국이 되었는가?,"1. 5번째
2. 6번째
3. 7번째
4. 8번째
",8번째,25
"한국과 무역을 많이 하는 나라는 중국, 미국, 일본 등이며, 이들 3개국이 한국 수출에서 차지하는 비중은 43%에 이른다.",1174,한국과 무역을 가장 많이 하는 나라는 어디인가?,"1. 중국, 미국, 일본
2. 미국, 일본, 영국
3. 중국, 미국, 영국
4. 미국, 일본, 프랑스
","중국, 미국, 일본",25
"자원, 기술, 자본 등이 부족했던 한국이 수출을 크게 늘리면서 경제 성장을 이룰 수 있었던 가장 중요한 요인은 어려움을 극복하겠다는 의지와 가난해도 공부하겠다는 교육열이라고 할 수 있다.",1175,한국이 수출을 크게 늘리면서 경제 성장을 이룰 수 있었던 가장 중요한 요인은 무엇인가?,"1. 자원의 풍부함
2. 기술의 발달
3. 어려움을 극복하겠다는 의지와 교육열
4. 자본의 축적
",어려움을 극복하겠다는 의지와 교육열,25
한국의 수출 증가 추이 한국의 수출액은 계속되는 경제위기 속에서도 해를 거듭하며 증가하고 있다.,1176,한국의 수출액은 어떤 추세를 보이고 있는가?,"1. 감소하고 있다
2. 변동이 없다
3. 증가하고 있다
4. 불안정하다
",증가하고 있다,25
"1964년 처음 1억 달러를 넘어선 이후로 1977년에 100억 달러, 1995년에는 1,000억 달러, 2011년에는 5,000억 달러를",1177,2011년 한국의 수출액은 얼마였는가?,"1. 100억 달러
2. 1,000억 달러
3. 5,000억 달러
4. 10,000억 달러
","5,000억 달러",25
1964년에 겨우 1억 달러를 수출했던 한국은 2011년에 무역 규모 1조 달러를 돌파 하였다.,1178,한국이 무역 규모 1조 달러를 돌파한 연도는 언제인가?,"1. 1964년
2. 1977년
3. 1995년
4. 2011년
",2011년,25
