cite,question_id,question,choices,answer,chapter
외국인이 한국에 체류하려면 어떻게 해야 할까? 한국에서는 한국을 소속 국가로 하지 않는 사람을 내국인과 구분하는 의미에서 외국인이라고 부른다.,710,한국에서 외국인이라고 부르는 사람은 누구를 의미하는가?,"1. 한국의 국민
2. 한국을 소속 국가로 하지 않는 사람
3. 한국에 거주하는 사람
4. 한국에 방문하는 모든 사람
",한국을 소속 국가로 하지 않는 사람,30.0
외국인은 한국에서 머무르는 기간에 따라 단기 체류자와 장기 체류자로 구분된다.,711,외국인은 어떤 기준으로 구분되는가?,"1. 국적에 따라
2. 나이에 따라
3. 한국에서 머무르는 기간에 따라
4. 성별에 따라
",한국에서 머무르는 기간에 따라,30.0
외국인이 입국한 날로부터 90일을 초과 하여 한국에 체류하려면 입국한 날로부터 90일 이내에 그 외국인이 체류하고 있는 관할 출입국관리사무소를 방문하여 외국인등록을 해야 한다.,712,외국인이 90일 이상 한국에 체류하려면 어떤 절차를 거쳐야 하는가?,"1. 외국인등록을 해야 한다
2. 한국 정부에 허가를 받아야 한다
3. 한국의 시민권을 얻어야 한다
4. 한국어 시험을 통과해야 한다
",외국인등록을 해야 한다,30.0
"한편, 일정한 자격을 갖춘 사람들은 영주권을 신청하여 기간 제한 없이 한국에 머무를 수 있다.",713,어떤 사람들이 기간 제한 없이 한국에 머무를 수 있는가?,"1. 일정한 자격을 갖춘 사람들
2. 한국의 국민
3. 한국에 투자한 사람들
4. 한국어를 유창하게 구사하는 사람들
",일정한 자격을 갖춘 사람들,30.0
비자(VISA)란? 한국에서 VISA는 법률 용어로는 ‘사증’ 으로 불린다.,714,한국에서 VISA는 어떤 용어로 불리는가?,"1. 여권
2. 사증
3. 체류증
4. 입국증
",사증,30.0
"외국인이 한국에 입국하기 위해서는 한국 정부의 허가를 받아야 하는데, 이를 증명하는 서류가 ‘사증’ 이다.",715,외국인이 한국에 입국하기 위해 필요한 서류는 무엇인가?,"1. 여권
2. 사증
3. 체류증
4. 입국증
",사증,30.0
대한민국에서는 외국인에게도 여러 가지 권리를 보장하고 있다.,716,대한민국에서 외국인에게 어떤 것을 보장하고 있는가?,"1. 여러 가지 권리
2. 한국 시민권
3. 한국어 교육
4. 무제한 체류 기간
",여러 가지 권리,30.0
"외국 국적자는 한국이 아닌 다른 나라의 국적을 가진 사람이고, 무국적자는 어떠한 국적도 갖지 않은 사람이다.",717,무국적자는 무엇을 의미하는가?,"1. 한국 국적을 가진 사람
2. 어떠한 국적도 갖지 않은 사람
3. 두 개 이상의 국적을 가진 사람
4. 외국 국적을 가진 사람
",어떠한 국적도 갖지 않은 사람,30.0
그리고 등록을 한 외국인이 체류지를 변경했을 경우에는 전입한 날로부터 14일 이내에 새로운 체류지의 관할 출입국관리사무소나 시·군·구청에 체류지 변경 신고를 해야 한다.,718,외국인이 체류지를 변경했을 경우 어떤 절차를 거쳐야 하는가?,"1. 체류지 변경 신고를 해야 한다
2. 외국인등록을 다시 해야 한다
3. 한국 정부에 허가를 받아야 한다
4. 새로운 비자를 발급받아야 한다
",체류지 변경 신고를 해야 한다,30.0
"예를 들면 대한민국에 5년 이상 체류하고 있는 자, 한국 국민의 배우자 또는 영주자격자의 배우자 및 미성년 자녀, 미국 달러 기준 50만 달러 이상을 투자한 외국인, 재외동포 체류자격 소지자, 첨단산업분야 박사학위 소지자, 첨단 산업분야 학사학위 및 자격증 소지자 등이다.",719,영주권을 신청할 수 있는 사람에는 어떤 사람들이 포함되는가?,"1. 한국에 5년 이상 체류하고 있는 사람, 한국 국민의 배우자, 50만 달러 이상을 투자한 외국인 등
2. 한국 국민
3. 한국에 거주하는 모든 외국인
4. 한국어를 유창하게 구사하는 사람
","한국에 5년 이상 체류하고 있는 사람, 한국 국민의 배우자, 50만 달러 이상을 투자한 외국인 등",30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",730,UN 아동권리위원회권고는 언제 제안되었나요?,"1. 2001년
2. 2002년
3. 2003년
4. 2004년
",2003년,30.0
