cite,question_id,question,choices,answer,chapter
대한민국 헌법 제1조는 대한민국이 민주주의에 바탕을 둔 공화국이며 대한민국의 중요한 결정을 최종적으로 국민이 할 수 있다는 것을 밝히고 있다.,100,대한민국 헌법 제1조는 어떤 내용을 담고 있나요?,"1. 대한민국은 공산주의 국가이다.
2. 대한민국은 민주주의에 바탕을 둔 공화국이다.
3. 대한민국은 군주제를 기반으로 한 국가이다.
4. 대한민국은 독재주의 국가이다.
",대한민국은 민주주의에 바탕을 둔 공화국이다.,20
"공화국은 국가의 주권, 즉 주인으로서의 권리가 왕이 아닌 국민에게 있다는 것을 뜻한다.",101,공화국이란 무엇을 의미하는가?,"1. 왕이 국가를 통치하는 형태
2. 국민이 국가의 주권을 가지는 형태
3. 군인이 국가를 통치하는 형태
4. 정치인이 국가를 통치하는 형태
",국민이 국가의 주권을 가지는 형태,20
"민주주의는 여러 가지로 구분될 수 있는데, 대표적인 것으로는 직접민주주의와 간접민주주의가 있다.",102,민주주의의 대표적인 구분에는 어떤 것들이 있나요?,"1. 자유민주주의와 사회민주주의
2. 자본주의와 사회주의
3. 직접민주주의와 간접민주주의
4. 대통령제와 의원내각제
",직접민주주의와 간접민주주의,20
"한국은 기본적으로 간접민주주의를 채택하고 있고, 국민투표와 같이 부분적으로 직접민주주적인 요소도 가지고 있다.",103,한국은 어떤 형태의 민주주의를 기본적으로 채택하고 있나요?,"1. 직접민주주의
2. 간접민주주의
3. 자유민주주의
4. 사회민주주의
",간접민주주의,20
한국은 현재 대통령제를 채택하고 있다.,104,한국은 어떤 정부 형태를 채택하고 있나요?,"1. 대통령제
2. 의원내각제
3. 군주제
4. 공화제
",대통령제,20
이승만(1-3대) 1948-1960 윤보선(4대) 1960-1962 박정희(5-9대) 1963-1979 최규하(10대) 1979-1980 전두환(11-12대) 1980-1988 노태우(13대) 1988-1993 김영삼(14대) 1993-1998 김대중(15대) 1998-2003 노무현(16대) 2003-2008 이명박(17대) 2008-2013 박근혜(18대) 2013-현재,105,한국의 첫번째 대통령은 누구인가요?,"1. 윤보선
2. 박정희
3. 이승만
4. 노태우
",이승만,20
이승만(1-3대) 1948-1960 윤보선(4대) 1960-1962 박정희(5-9대) 1963-1979 최규하(10대) 1979-1980 전두환(11-12대) 1980-1988 노태우(13대) 1988-1993 김영삼(14대) 1993-1998 김대중(15대) 1998-2003 노무현(16대) 2003-2008 이명박(17대) 2008-2013 박근혜(18대) 2013-현재,106,한국의 10번째 대통령은 누구인가요?,"1. 최규하
2. 전두환
3. 노태우
4. 김영삼
",최규하,20
이승만(1-3대) 1948-1960 윤보선(4대) 1960-1962 박정희(5-9대) 1963-1979 최규하(10대) 1979-1980 전두환(11-12대) 1980-1988 노태우(13대) 1988-1993 김영삼(14대) 1993-1998 김대중(15대) 1998-2003 노무현(16대) 2003-2008 이명박(17대) 2008-2013 박근혜(18대) 2013-현재,107,한국의 18번째 대통령은 누구인가요?,"1. 노무현
2. 이명박
3. 박근혜
4. 문재인
",박근혜,20
"한국의 정치는 어떤 특징을 띠고 있을까? 정치란 사람들 사이에 서로 다른 이해관계를 조정하는 것으로서, 좁은 의미로는 나라를 통치하는 일을 가리킨다.",108,정치의 좁은 의미는 무엇인가요?,"1. 사람들 사이의 이해관계를 조정하는 것
2. 나라를 통치하는 일
3. 국민의 의견을 반영하는 것
4. 정부의 정책을 결정하는 것
",나라를 통치하는 일,20
한국에서는 국민이 주인으로서의 권리를 행사한다.,109,한국에서는 누가 주인으로서의 권리를 행사하나요?,"1. 대통령
2. 국회의원
3. 국민
4. 정부
",국민,20
