cite,question_id,question,choices,answer,chapter
한국의 정식 국가명은 대한민국이다.,800,한국의 정식 국가명은 무엇인가?,"1. 대한민국
2. 남한
3. South Korea
4. The Republic of Korea
",대한민국,1.0
현재의 국가명인 대한민국은 1948년부터 사용되고 있다.,801,대한민국이라는 국가명이 처음 사용된 연도는 언제인가?,"1. 1945년
2. 1948년
3. 1950년
4. 1953년
",1948년,1.0
대한민국의 국기를 태극기(太極旗)라고 부른다.,802,대한민국의 국기는 무엇이라고 부르는가?,"1. 별기
2. 태극기
3. 삼색기
4. 일장기
",태극기,1.0
"태극기는 흰색 바탕에 빨강과 파랑의 태극 문양이중앙에 있고, 모서리에 검은색의 4괘가 있다.",803,태극기의 구성 요소로 옳지 않은 것은 무엇인가?,"1. 흰색 바탕
2. 빨강과 파랑의 태극 문양
3. 모서리의 검은색 4괘
4. 중앙의 노란색 별
",중앙의 노란색 별,1.0
"태극 문양의주변에 있는 4괘는 각각 하늘(건), 땅(곤), 물(감), 불(리)을 의미하는 것으로 자연의 조화를 강조한다.",804,태극기의 4괘는 무엇을 의미하는가?,"1. 하늘, 땅, 물, 불
2. 동, 서, 남, 북
3. 봄, 여름, 가을, 겨울
4. 목, 화, 토, 금, 수
","하늘, 땅, 물, 불",1.0
"대한민국에서는 국가를 애국가 라고 하는데, ‘나라를 사랑하는 마음을 담은 노래’라는 의미를 가지고 있다.",805,대한민국의 국가는 무엇인가?,"1. 애국가
2. 통일가
3. 독립가
4. 민주가
",애국가,1.0
"약 100여 년 전부터 사용되어 온 애국가는 전체 4절로 구성되어 있는데, 중요한 국가 행사를 제외하고는 대체로 1절만 부르는 경우가 많다.",806,애국가는 몇 절로 구성되어 있는가?,"1. 2절
2. 3절
3. 4절
4. 5절
",4절,1.0
한국에서는 중요한 행사를 할 때는 태극기에 대하여 경례를 한다.,807,한국에서 중요한 행사를 할 때는 무엇에 대하여 경례를 하는가?,"1. 국가
2. 태극기
3. 국회의사당
4. 청와대
",태극기,1.0
이때는 오른손을 왼쪽 가슴에 대고 “나는 자랑스러운 태극기 앞에 자유롭고 정의로운 대한민국의 무궁한 영광을 위하여 충성을 다할 것을 굳게 다짐합니다.”라는 맹세를 같이 하기도 한다.,808,한국에서 중요한 행사를 할 때 태극기 앞에서 하는 맹세의 내용은 무엇인가?,"1. 나는 자랑스러운 태극기 앞에 자유롭고 정의로운 대한민국의 무궁한 영광을 위하여 충성을 다할 것을 굳게 다짐합니다.
2. 나는 자랑스러운 태극기 앞에 대한민국의 무궁한 발전을 위하여 노력을 다할 것을 굳게 다짐합니다.
3. 나는 자랑스러운 태극기 앞에 대한민국의 무궁한 행복을 위하여 기도를 다할 것을 굳게 다짐합니다.
4. 나는 자랑스러운 태극기 앞에 대한민국의 무궁한 평화를 위하여 헌신을 다할 것을 굳게 다짐합니다.
",나는 자랑스러운 태극기 앞에 자유롭고 정의로운 대한민국의 무궁한 영광을 위하여 충성을 다할 것을 굳게 다짐합니다.,1.0
한국에서는 국경일이나 국가기념일에 태극기를 자신의 집 문가나 창가에 다는 것이 일반적이다.,809,한국에서는 어떤 날에 태극기를 집 문가나 창가에 달기 일반적인가?,"1. 국경일이나 국가기념일
2. 생일이나 결혼기념일
3. 크리스마스나 설날
4. 학교 개학일이나 졸업식 날
",국경일이나 국가기념일,1.0
